suite,background,method,n,improved,unchanged,worsened,clipped,gained3,lost3,gained45,lost45,mean_gain,min_gain,max_gain,background_distance_violations
full,#F3F8F4,1,16777216,0,16777216,0,0,0,0,0,0,-8.064805831600107e-17,-1.7763568394002505e-14,2.1316282072803006e-14,0
full,#F3F8F4,1.05,16777216,16760973,27,16216,9286096,687626,20,1019897,0,0.8386693817327318,-0.020584373483666596,9.073685409795006,0
full,#F3F8F4,1.1,16777216,16751094,27,26095,11599672,1226363,75,1754421,0,1.4834204685669754,-0.041063602077409556,12.214320995250631,0
full,#F3F8F4,1.2,16777216,16735417,27,41772,13749906,2036654,194,2836195,0,2.540404889336399,-0.07419370576114481,14.744652687419096,0
full,#F3F8F4,1.4,16777216,16714583,27,62606,15359744,3108114,465,4273805,0,4.132817295673921,-0.12746552511127351,16.423852824416823,0
full,#F3F8F4,difference,16777216,4233029,0,12544187,0,1687257,8990692,452755,5544457,-2.458682378957716,-18.54422868622983,18.54422868622983,0
full,#F3F8F4,exclusion,16777216,3737053,0,13040163,0,632507,8990692,61306,5544457,-2.6804629163174147,-18.54422868622983,6.8840028827909325,0
full,#F5F5F5,1,16777216,0,16777216,0,0,0,0,0,0,-6.417297632432931e-17,-1.7763568394002505e-14,2.1316282072803006e-14,0
full,#F5F5F5,1.05,16777216,16747291,27,29898,9247680,691207,7,1006717,0,0.8169276765084051,-0.018311454304781982,8.885025305413853,0
full,#F5F5F5,1.1,16777216,16729666,27,47523,11599499,1224192,27,1737148,0,1.447079754680585,-0.03653846158826024,11.981364158940211,0
full,#F5F5F5,1.2,16777216,16706123,27,71066,13728591,2040494,83,2823767,0,2.482090298127709,-0.06523564199852316,14.445511422732984,0
full,#F5F5F5,1.4,16777216,16675622,27,101567,15334319,3092864,268,4241263,0,4.044356019205558,-0.11435808834510297,16.136884658422417,0
full,#F5F5F5,difference,16777216,4344568,0,12432648,0,1720909,8871078,456155,5433241,-2.387555654312114,-18.261973035868383,18.261973035868383,0
full,#F5F5F5,exclusion,16777216,3708203,0,13069013,0,456450,8871078,31278,5433241,-2.6486190292385734,-18.261973035868383,5.944751966183829,0
full,#FAF3F6,1,16777216,0,16777216,0,0,0,0,0,0,-9.552575528315942e-17,-1.7763568394002505e-14,2.1316282072803006e-14,0
full,#FAF3F6,1.05,16777216,16737767,27,39422,9362536,690815,0,1007962,0,0.8168388736569456,-0.016284978416436502,8.88754289191312,0
full,#FAF3F6,1.1,16777216,16714665,27,62524,11659357,1223111,0,1742335,0,1.449724079565919,-0.03250298934011919,11.920730461537744,0
full,#FAF3F6,1.2,16777216,16684366,27,92823,13770784,2027377,0,2833516,0,2.4920377626020924,-0.05715309503469346,14.411615417693136,0
full,#FAF3F6,1.4,16777216,16649066,27,128123,15372400,3069630,0,4261489,0,4.06941761560965,-0.09824389911504738,16.09849644311965,0
full,#FAF3F6,difference,16777216,4368230,0,12408986,0,1638338,8851124,419574,5414997,-2.386707228967161,-18.215799729145886,18.215799729145886,0
full,#FAF3F6,exclusion,16777216,3670850,0,13106366,0,388958,8851124,25113,5414997,-2.6500097730939696,-18.215799729145886,5.808879738401299,0
full,#FAF7F2,1,16777216,0,16777216,0,0,0,0,0,0,-1.026759044980678e-16,-1.7763568394002505e-14,2.1316282072803006e-14,0
full,#FAF7F2,1.05,16777216,16761403,27,15786,9324706,686832,6,1026146,0,0.8519281571279316,-0.02469256447408874,9.190998765975658,0
full,#FAF7F2,1.1,16777216,16751227,27,25962,11688940,1219025,21,1765925,0,1.5093220408445505,-0.0455104481509494,12.347468419852557,0
full,#FAF7F2,1.2,16777216,16736675,27,40514,13791376,2023145,58,2867772,0,2.588981822740893,-0.08521551927968751,14.82965525510446,0
full,#FAF7F2,1.4,16777216,16718002,27,59187,15359968,3087194,139,4306371,0,4.218940749324364,-0.14938581368553372,16.513398201123277,0
full,#FAF7F2,difference,16777216,4200156,0,12577060,0,1613216,9035305,414554,5586494,-2.495314148367845,-18.651265398439584,18.651265398439584,0
full,#FAF7F2,exclusion,16777216,3703280,0,13073936,0,587841,9035305,69091,5586494,-2.70361006622979,-18.651265398439584,7.298112341694241,0
full,#FAFAFA,1,16777216,0,16777216,0,0,0,0,0,0,-1.0797846309677772e-16,-2.1316282072803006e-14,2.1316282072803006e-14,0
full,#FAFAFA,1.05,16777216,16772658,27,4531,9475832,680269,0,1045635,0,0.8954407297909006,-0.008624609273265804,9.55098857861513,0
full,#FAFAFA,1.1,16777216,16769523,27,7666,11777005,1209540,0,1798866,0,1.5878029153442972,-0.017231260792355485,12.749723855032896,0
full,#FAFAFA,1.2,16777216,16763784,27,13405,13853009,2024406,0,2933752,0,2.728052617320584,-0.03439091444658082,15.305295294681507,0
full,#FAFAFA,1.4,16777216,16757082,27,20107,15409585,3074505,0,4404028,0,4.454804475641292,-0.05188719069363934,16.98068301886331,0
full,#FAFAFA,difference,16777216,4027363,0,12749853,0,1487521,9225891,369858,5770021,-2.624965599961183,-19.119467064985724,19.119467064985724,0
full,#FAFAFA,exclusion,16777216,3708203,0,13069013,0,789035,9225891,118818,5770021,-2.76690965287227,-19.119467064985724,9.655046104877382,0
full,#FFFFFF,1,16777216,0,16777216,0,0,0,0,0,0,-6.252209587524087e-17,-2.1316282072803006e-14,2.4868995751603507e-14,0
full,#FFFFFF,1.05,16777216,16777208,8,0,9475832,670773,0,1077577,0,0.9796080613420735,0.0,10.137753455878315,0
full,#FFFFFF,1.1,16777216,16777208,8,0,11864216,1195571,0,1867832,0,1.7388722404224761,0.0,13.544822189552475,0
full,#FFFFFF,1.2,16777216,16777208,8,0,13913928,2006718,0,3021361,0,2.9922809746799555,0.0,16.11928002021166,0
full,#FFFFFF,1.4,16777216,16777208,8,0,15446216,3072353,0,4547837,0,4.897076751060307,0.0,17.848254630514962,0
full,#FFFFFF,difference,16777216,3708203,0,13069013,0,1172035,9565671,253660,6113258,-2.8801204297485596,-20.0,20.0,0
full,#FFFFFF,exclusion,16777216,3708203,0,13069013,0,1172035,9565671,253660,6113258,-2.8801204297485596,-20.0,20.0,0
sweep,#201C18,0.0,274625,0,0,274625,0,0,202005,0,149483,-4.856517805055583,-15.92584216342702,-2.1814667633845986e-05,0
sweep,#201C18,0.025,274625,0,0,274625,0,0,202005,0,149483,-4.735106584854198,-15.527696109341345,-2.126930094292767e-05,0
sweep,#201C18,0.05,274625,0,0,274625,0,0,202005,0,149483,-4.613695286637519,-15.12955005525567,-2.0723934252231402e-05,0
sweep,#201C18,0.075,274625,0,0,274625,0,0,202005,0,149483,-4.492283909685286,-14.731404001169995,-2.0178567561313088e-05,0
