browser,alpha,medianMs,p10Ms,p90Ms
firefox,0.725,0.2,0.2,0.33000000000000007
firefox,0.75,0.2,0.2,0.34000000000000025
firefox,0.775,0.25,0.2,0.38000000000000006
firefox,0.8,0.25,0.2,0.2800000000000001
firefox,0.825,0.2,0.2,0.25
firefox,0.85,0.25,0.17,0.2800000000000001
firefox,0.875,0.25,0.2,0.36000000000000015
firefox,0.9,0.25,0.2,0.33000000000000007
firefox,0.925,0.25,0.2,0.25
firefox,0.95,0.25,0.17,0.33000000000000007
firefox,0.975,0.25,0.2,0.25
firefox,1,0.2,0.2,0.2800000000000001
firefox,1.025,0.2,0.2,0.25
firefox,1.05,0.2,0.2,0.2800000000000001
firefox,1.075,0.2,0.2,0.33000000000000007
firefox,1.1,0.2,0.2,0.25
firefox,1.125,0.25,0.2,0.33000000000000007
firefox,1.15,0.25,0.2,0.2800000000000001
firefox,1.175,0.25,0.2,0.25
firefox,1.2,0.2,0.2,0.25
firefox,1.225,0.25,0.2,0.3
firefox,1.25,0.2,0.2,0.25
firefox,1.275,0.25,0.2,0.3
firefox,1.3,0.25,0.2,0.3
firefox,1.325,0.25,0.2,0.3
firefox,1.35,0.2,0.2,0.3100000000000001
firefox,1.375,0.2,0.2,0.2800000000000001
firefox,1.4,0.2,0.2,0.33000000000000007
firefox,1.425,0.2,0.17,0.33000000000000007
firefox,1.45,0.2,0.2,0.3
firefox,1.475,0.25,0.2,0.25
firefox,1.5,0.25,0.2,0.3
firefox,1.525,0.25,0.2,0.2800000000000001
firefox,1.55,0.2,0.2,0.39000000000000024
firefox,1.575,0.25,0.2,0.3
firefox,1.6,0.2,0.2,0.33000000000000007
firefox,1.625,0.25,0.2,0.3
firefox,1.65,0.25,0.2,0.2800000000000001
firefox,1.675,0.2,0.2,0.25
firefox,1.7,0.2,0.2,0.25
firefox,1.725,0.25,0.2,0.3100000000000001
firefox,1.75,0.2,0.2,0.25
firefox,1.775,0.25,0.2,0.3
firefox,1.8,0.25,0.2,0.2800000000000001
firefox,1.825,0.25,0.2,0.3
firefox,1.85,0.2,0.2,0.25
firefox,1.875,0.2,0.2,0.25
firefox,1.9,0.25,0.17,0.2800000000000001
firefox,1.925,0.2,0.2,0.25
firefox,1.95,0.2,0.2,0.3
firefox,1.975,0.25,0.2,0.3
firefox,2,0.25,0.2,0.2800000000000001
webkit,0,0.2,0.2,0.25
webkit,0.025,0.2,0.2,0.25
webkit,0.05,0.2,0.2,0.3100000000000001
webkit,0.075,0.2,0.17,0.25
webkit,0.1,0.2,0.17,0.25
webkit,0.125,0.2,0.17,0.25
webkit,0.15,0.2,0.15,0.25
webkit,0.175,0.2,0.2,0.23000000000000007
webkit,0.2,0.2,0.2,0.23000000000000007
webkit,0.225,0.2,0.15,0.25
webkit,0.25,0.2,0.2,0.25
webkit,0.275,0.2,0.2,0.25
webkit,0.3,0.2,0.2,0.25
webkit,0.325,0.2,0.2,0.25
webkit,0.35,0.2,0.17,0.25
webkit,0.375,0.2,0.15,0.25
