canvas_group,alpha,source_cases,mean_contrast_gain,contrast_decreased_pct,pair_cases,merged_pairs_pct
Light canvases,1.35,2197000,3.7722649511657633,0.5539827036868457,524288,2.2556304931640625
Light canvases,1.375,2197000,3.9510032347470467,0.5710969503868912,524288,2.552032470703125
Light canvases,1.4,2197000,4.1223349112335,0.5883932635411926,524288,2.8766632080078125
Light canvases,1.425,2197000,4.286962297563803,0.6050978607191625,524288,3.2299041748046875
Light canvases,1.45,2197000,4.447579573857616,0.6205279927173418,524288,3.6077499389648438
Light canvases,1.475,2197000,4.601020301978325,0.6372325898953118,524288,3.95050048828125
Light canvases,1.5,2197000,4.748968584738684,0.6511606736458807,524288,4.350090026855469
Light canvases,1.525,2197000,4.89445627664754,0.6646335912608102,524288,4.738807678222656
Light canvases,1.55,2197000,5.031081611611681,0.6754665452890305,524288,5.1280975341796875
Light canvases,1.575,2197000,5.168264901300576,0.687027765134274,524288,5.5263519287109375
Light canvases,1.6,2197000,5.295589442894229,0.6979062357760583,524288,5.94940185546875
Light canvases,1.625,2197000,5.424607491963859,0.7086026399635867,524288,6.3510894775390625
Light canvases,1.65,2197000,5.544255205834137,0.719435593991807,524288,6.792640686035156
Light canvases,1.675,2197000,5.663901418236537,0.7300409649522076,524288,7.201576232910156
Light canvases,1.7,2197000,5.779658057274476,0.7391898042785616,524288,7.6129913330078125
Light canvases,1.725,2197000,5.888903296401724,0.7466545289030496,524288,8.042716979980469
Light canvases,1.75,2197000,6.001352552307164,0.754710969503869,524288,8.469772338867188
Light canvases,1.775,2197000,6.104122505314271,0.762949476558944,524288,8.895301818847656
Light canvases,1.8,2197000,6.2057447239069665,0.7700500682749204,524288,9.334564208984375
Light canvases,1.825,2197000,6.309439862785217,0.7781520254893036,524288,9.80224609375
Light canvases,1.85,2197000,6.403420289529753,0.7848884842967683,524288,10.204696655273438
Light canvases,1.875,2197000,6.4967063485453505,0.79066909421939,524288,10.687446594238281
Light canvases,1.9,2197000,6.592870159654765,0.7964952207555758,524288,11.118698120117188
Light canvases,1.925,2197000,6.680964523039972,0.8044151115157032,524288,11.525154113769531
Light canvases,1.95,2197000,6.765324002686831,0.8087391898042786,524288,11.918449401855469
Light canvases,1.975,2197000,6.852018813953828,0.812972234865726,524288,12.373542785644531
Light canvases,2.0,2197000,6.9371336584459184,0.8175238962221211,524288,12.788009643554688
Dark canvases,0.0,2197000,-5.038439462233226,99.99995448338643,524288,100.0
Dark canvases,0.025,2197000,-4.912480577470867,99.99995448338643,524288,0.01506805419921875
Dark canvases,0.05,2197000,-4.786521600007066,99.99995448338643,524288,0.00400543212890625
Dark canvases,0.075,2197000,-4.660562528832653,99.99995448338643,524288,0.00171661376953125
Dark canvases,0.1,2197000,-4.5346033629219855,99.99995448338643,524288,0.00019073486328125
Dark canvases,0.125,2197000,-4.408644101232578,99.99995448338643,524288,0.0
Dark canvases,0.15,2197000,-4.2826847427047285,99.99995448338643,524288,0.0
Dark canvases,0.175,2197000,-4.156725286261133,99.99995448338643,524288,0.0
Dark canvases,0.2,2197000,-4.030765730806488,99.99995448338643,524288,0.0
Dark canvases,0.225,2197000,-3.9048060752270803,99.99995448338643,524288,0.0
Dark canvases,0.25,2197000,-3.7788463183903653,99.99995448338643,524288,0.0
Dark canvases,0.275,2197000,-3.6528864591445367,99.99995448338643,524288,0.0
Dark canvases,0.3,2197000,-3.5269264963180764,99.99995448338643,524288,0.0
Dark canvases,0.325,2197000,-3.400966428719297,99.99995448338643,524288,0.0
Dark canvases,0.35,2197000,-3.275006255135871,99.99995448338643,524288,0.0
Dark canvases,0.375,2197000,-3.149045974334339,99.99995448338643,524288,0.0
Dark canvases,0.4,2197000,-3.0230855850596114,99.99995448338643,524288,0.0
Dark canvases,0.425,2197000,-2.8971250860344484,99.99995448338643,524288,0.0
Dark canvases,0.45,2197000,-2.771164475958929,99.99995448338643,524288,0.0
Dark canvases,0.475,2197000,-2.6452037535098993,99.99995448338643,524288,0.0
Dark canvases,0.5,2197000,-2.519242917340406,99.99995448338643,524288,0.0
Dark canvases,0.525,2197000,-2.393281966079115,99.99995448338643,524288,0.0
Dark canvases,0.55,2197000,-2.2673208983297024,99.99995448338643,524288,0.0
Dark canvases,0.575,2197000,-2.1413597126702384,99.99995448338643,524288,0.0
Dark canvases,0.6,2197000,-2.0153984076525386,99.99995448338643,524288,0.0
Dark canvases,0.625,2197000,-1.8894369818015087,99.99995448338643,524288,0.0
Dark canvases,0.65,2197000,-1.7634754336144538,99.99995448338643,524288,0.0
Dark canvases,0.675,2197000,-1.6375137615603745,99.99995448338643,524288,0.0
